update,explained_variance,approx_kl,policy_loss,value_loss,entropy,adv_mean,adv_std,value_mean,value_std
512,-0.6651236,0.006339719344396144,-0.011303183564450592,0.006454666945501231,1.6009512841701508,-0.107493296,0.0399018,-0.25648683,0.031646457
1024,0.13525146,-0.0015150752733461559,-0.004747509025037289,0.031663294648751616,1.588533729314804,-0.05497102,0.1804705,-0.091209434,0.18673761
1536,0.23320043,0.001633073901757598,-0.00430038315244019,0.008186326187569648,1.5826593786478043,-0.12625043,0.04742304,-0.058627397,0.03682722
2048,-0.3518901,0.0030240234336815774,-0.0010110624134540558,0.013822199747664854,1.5682372748851776,-0.12133901,0.10521433,-0.10925542,0.07195787
2560,0.07211667,0.004833330196561292,-0.0030724883545190096,0.013680958829354495,1.5686334818601608,-0.054293446,0.10479336,-0.26660195,0.022834513
3072,-0.28586555,0.0011439061490818858,-0.005240409169346094,0.016538532450795174,1.5664197206497192,-0.08983979,0.118648864,-0.2932358,0.03461631
3584,-0.18783462,0.0038071002054493874,-0.004710955428890884,0.023762312484905124,1.5790675282478333,-0.056483936,0.16596928,-0.19002688,0.11573752
4096,-0.18630898,-0.0013705648598261178,-0.0057539925910532475,0.023498639231547713,1.5825285464525223,-0.046329916,0.16340233,-0.17206375,0.1164009
4608,-0.021064758,0.0006039770960342139,-0.0057953111827373505,0.04499780107289553,1.5648187100887299,-0.046689324,0.21053809,-0.043778185,0.06638994
5120,0.032490015,0.0007224913861136883,-0.004700836725533009,0.0401278049685061,1.5573294013738632,-0.020367412,0.20301932,-0.05989697,0.047109835
5632,0.43659675,0.0007003208447713405,-0.0044657832477241755,0.014626535878051072,1.5423304438591003,-0.09832048,0.112694494,-0.10712265,0.067987144
6144,-0.09475601,0.0002718230534810573,-0.0030549061484634876,0.01724985719192773,1.5495505034923553,-0.14959586,0.09729523,0.090629384,0.04781426
6656,-0.25397182,0.0004231790662743151,-0.00019755004905164242,0.033583799144253135,1.495198592543602,-0.0699995,0.18486704,-0.024218693,0.1152502
7168,-0.6973671,7.013173308223486e-05,-0.0019325735047459602,0.008408081252127886,1.4919693917036057,-0.13121206,0.039907712,-0.12670143,0.02681822
7680,-0.7594049,0.001059247151715681,-0.0029631038196384907,0.0200168255250901,1.5050250738859177,-0.15826792,0.12499021,0.09951709,0.10787276
8192,0.80668545,0.0015324827108997852,-0.0024795690551400185,0.010519463336095214,1.4630559980869293,-0.096418425,0.05922951,-0.2017849,0.13841182
8704,0.040862024,0.0016350503719877452,-0.006530663929879665,0.016143338638357818,1.4593638628721237,-0.04303187,0.12427943,-0.4375976,0.033883203
9216,-0.23470557,0.004820289585040882,-0.005369966267608106,0.02378337737172842,1.4724650382995605,-0.062298246,0.17850384,0.007030251,0.21040003
9728,-0.07057917,0.0030426469165831804,-0.0008909851312637329,0.023234406020492315,1.52008256316185,-0.0921991,0.14408103,-0.0020187886,0.08225329
10240,-0.15010917,0.00026750637334771454,-0.005774505902081728,0.025715471943840384,1.5145244300365448,-0.09283995,0.15271805,-0.1188493,0.040590547
10752,0.19025183,0.003155966376652941,-0.0046576824970543385,0.020866911276243627,1.4950146079063416,-0.030425059,0.14445728,-0.27108115,0.06853111
11264,0.24843937,0.0007190072210505605,-0.0026095425710082054,0.00667410870664753,1.52468541264534,-0.07788199,0.07205232,-0.22486156,0.030221505
11776,-0.20129836,0.0013497101317625493,-0.006133270915597677,0.0448669302277267,1.5487252175807953,-0.013459766,0.21817875,-0.16074994,0.102966316
12288,0.064273,0.0029300173046067357,-0.0019931336864829063,0.017513429280370474,1.5183384865522385,-0.06406526,0.12601097,-0.114932805,0.026848178
12800,0.09060395,0.00041621350101195276,-0.0016679102554917336,0.02904049027711153,1.5042271614074707,-0.028137553,0.17542219,-0.26837146,0.053984288
13312,-0.012176514,0.0005409361037891358,-0.0030084215104579926,0.10834712069481611,1.5103358775377274,0.070485204,0.33534694,-0.07924989,0.10037244
13824,-0.86349726,0.00020479591330513358,-0.004483419004827738,0.036979153752326965,1.505870833992958,-0.12799011,0.2000558,-0.013946714,0.18002181
14336,0.095612526,0.0015441213909070939,-0.0001631139311939478,0.04489490482956171,1.4405687153339386,-0.05122086,0.20799887,0.041913975,0.043091588
14848,-0.24788177,-0.0008565695607103407,-0.0016760544385761023,0.02277135755866766,1.4546784162521362,-0.09307728,0.1365446,-0.025555024,0.060912725
15360,0.059107184,0.00024057956761680543,-0.002042211592197418,0.027835298562422395,1.3994830548763275,-0.06605551,0.16647376,0.0074042147,0.06061024
15872,-0.08019006,0.0016596507339272648,-0.0028229730669409037,0.08059168141335249,1.465517833828926,0.0326142,0.29358843,0.08150765,0.13749266
16384,0.21837765,0.003197000303771347,-0.0024764244444668293,0.05670146690681577,1.515209436416626,-0.08907935,0.23324229,0.024863588,0.12698713
16896,0.35011023,0.00177697793697007,-0.005307207582518458,0.037717129569500685,1.4896771162748337,0.016467927,0.203656,-0.123344675,0.2258127
17408,-0.026979804,0.0003263574908487499,-0.003790822811424732,0.03301262343302369,1.5133576542139053,-0.097636916,0.17237958,-0.031302113,0.064970054
17920,0.16419691,0.00024630725965835154,-0.0017083026468753815,0.03270637267269194,1.5258553624153137,-0.028867684,0.17744148,-0.13260846,0.11888229
18432,0.15601498,0.002392618713201955,-0.0025047839153558016,0.02621042146347463,1.520539715886116,-0.05720915,0.18150753,-0.1690348,0.0333039
18944,-0.15192187,0.00538443261757493,-0.005389103782363236,0.06889395276084542,1.521064043045044,0.0073959976,0.275683,-0.1459158,0.08489524
19456,-0.010365963,0.0027918834530282766,-0.004335567355155945,0.06708791200071573,1.474764734506607,-0.00078544393,0.2603663,0.11501721,0.111841395
19968,-0.22774768,0.0017353020957671106,-0.0028446244541555643,0.09000769071280956,1.470061555504799,0.020562451,0.32151428,-0.024958812,0.19418737
20480,0.056046426,3.411987563595176e-05,-0.0036454909713938832,0.08906780928373337,1.4643722176551819,0.06982093,0.3003164,-0.031468116,0.1759091
20992,-0.10376239,0.0025402843893971294,-0.0040782548021525145,0.062363067176193,1.4986241310834885,-0.035021823,0.25856212,0.035236042,0.09019912
21504,0.115189075,0.0012839714472647756,-0.005454335594549775,0.037201955216005445,1.4943827837705612,-0.053902958,0.21066302,-0.18109289,0.06472314
22016,0.22414929,-0.0001281549921259284,-0.003422217443585396,0.03220153786242008,1.4751664847135544,-0.012298353,0.17651692,-0.17060933,0.09817466
22528,-0.100948215,-0.00017208867939189076,-0.0037944763898849487,0.03696088842116296,1.4608983844518661,-0.084412865,0.20258528,0.03908804,0.09319248
23040,0.1418451,0.001670642290264368,-0.005407476564869285,0.04103652760386467,1.387935683131218,-0.016488846,0.20155081,-0.2709141,0.072718784
23552,-0.26609182,0.004759673727676272,-0.0058732060715556145,0.09440602455288172,1.4138911366462708,0.026028145,0.32430786,-0.1372957,0.16664504
24064,0.05647546,0.0004654182412195951,-0.004251306061632931,0.12707559578120708,1.4097186774015427,0.20782715,0.34493566,-0.13223848,0.14790666
24576,0.0135349035,0.0014193567913025618,-0.004915090627036989,0.07998663745820522,1.3522998243570328,0.013012517,0.2877627,-0.012127084,0.05395641
25088,-0.24801397,0.0003619989729486406,-0.0019599722581915557,0.13405738957226276,1.2911107391119003,0.08593427,0.39091074,0.14582263,0.20558503
25600,-0.21530008,0.00024408005992881954,-0.005019631003960967,0.08226836565881968,1.3551953881978989,-0.03224639,0.30175787,0.25881588,0.20227666
26112,-0.2490946,0.0013692629290744662,-0.0051041459664702415,0.0893388157710433,1.3523447215557098,-0.032915607,0.31873474,0.31567484,0.12284687
26624,0.07067627,0.0034483329218346626,-0.003324749181047082,0.12209413945674896,1.3034861385822296,0.055343498,0.3489601,0.17007774,0.12109449
27136,0.09221852,0.001158028346253559,-0.0071807242929935455,0.11602307483553886,1.116720288991928,0.05543689,0.34103996,0.10322238,0.12892857
27648,0.23306257,0.0010941771615762264,-0.0057704090140759945,0.06838337192311883,1.3642328828573227,-0.034656737,0.2641931,0.31752303,0.174587
28160,0.010894299,0.0010133871692232788,-0.007568755652755499,0.10159741621464491,1.3190281391143799,0.06964863,0.31646818,0.09893261,0.09284707
28672,-0.11498046,0.0033991817908827215,-0.006318703526630998,0.21328532882034779,1.298272579908371,0.082521394,0.47388312,0.22293541,0.16081741
29184,0.004854262,0.000988801650237292,-0.006182504002936184,0.15164393559098244,1.2046702355146408,0.09133932,0.39860246,0.3555854,0.13893193
29696,0.19093406,0.001891928055556491,-0.003042500000447035,0.12222135253250599,1.2585111260414124,0.004386235,0.35319802,0.33338687,0.2691827
30208,-0.10385895,0.0024953046813607216,-0.0028223490808159113,0.10543609876185656,1.235314667224884,-0.014916357,0.3653487,0.47857308,0.38551572
30720,-0.036259413,0.0009922086028382182,-0.0015791788464412093,0.11919409595429897,1.24726040661335,-0.06107655,0.34901914,0.39708173,0.16967154
31232,-0.022669673,0.0010457845928613096,-0.0055984449572861195,0.13626349158585072,1.263863205909729,0.010443334,0.3763242,0.33774987,0.15722029
31744,-0.0062845945,-0.0008489383035339415,-0.007587127853184938,0.21248754486441612,1.2586963027715683,0.1434915,0.453501,0.24526528,0.11583633
32256,-0.105183244,0.006016353116137907,-0.0035628549521788955,0.049226696603000164,1.269275262951851,-0.1762619,0.20255832,0.35435927,0.06747813
