grid,agents,items,completion_mean,completion_std,timesteps_mean,timesteps_std,reward_ratio_mean,reward_ratio_std,mpd_mean,mpd_std
5,8,8,1.0,0.0,5.29,1.0797684937059424,0.9470999999999999,0.010797684937059435,3.535829506802721,0.34749990409040665
5,8,4,1.0,0.0,3.72,1.233531515608742,0.9255999999999998,0.024670630312174847,3.5285586734693872,0.2790256920182775
5,4,8,1.0,0.0,8.53,2.1515343362354225,0.9573499999999998,0.010757671681177122,3.5179331455581457,0.5186309776712323
10,8,8,1.0,0.0,9.26,3.4745359402371996,0.9074000000000001,0.034745359402372014,6.731540031960215,0.6118625490926258
10,8,4,1.0,0.0,6.77,3.6519994523548327,0.8646,0.07303998904709669,6.589867682583479,0.7177311594333271
10,4,8,1.0,0.0,20.7,13.899280556920923,0.8965,0.06949640278460467,6.838009095841088,0.9927762713044058
20,8,8,0.68,0.46647615158762396,88.82,81.51924680711912,0.05929999999999941,0.8885150589607365,11.862144266051807,2.1371601260645736
20,8,4,0.72,0.44899888641287294,74.06,82.86794555194426,-0.5837000000000008,1.8164694629968334,12.092231524822871,2.284121298875194
20,4,8,0.25,0.4330127018922193,165.77,62.653787595004985,-0.04510000000000059,0.4656200060134876,9.127429339889424,2.8303948151305507
