update,explained_variance,approx_kl,policy_loss,value_loss,entropy,adv_mean,adv_std,value_mean,value_std
512,0.28633946,0.0812603259109892,0.00696407537907362,0.01969406264834106,1.5302225202322006,-0.09687881,0.1400675,-0.012315509,0.07801729
1024,-0.078810334,0.01630083774216473,-0.017629711248446256,0.039712472818791866,1.5701317340135574,-0.028456716,0.20748621,-0.029172925,0.08670689
1536,-0.93393767,0.022237182362005115,-0.016081732348538935,0.010387003247160465,1.5494716614484787,-0.1488699,0.050729506,0.005915397,0.03249955
2048,-0.039614797,0.01288579060928896,-0.013740009628236294,0.032860453706234694,1.523530900478363,-0.047189318,0.18404995,-0.09231055,0.056113925
2560,-0.371812,0.006184860190842301,-0.011515394086018205,0.023746914928779006,1.5047973841428757,-0.07755257,0.15841983,-0.10657016,0.085988946
3072,-0.18007004,0.018856372829759493,-0.008782953722402453,0.019556697108782828,1.5118399411439896,-0.11863254,0.12142649,-0.12745729,0.044280645
3584,0.10383785,0.008348208415554836,-0.011555141769349575,0.007290292647667229,1.3857401907444,-0.0788944,0.07745179,-0.19432923,0.03621329
4096,0.24149978,0.0192996523110196,-0.010517079383134842,0.021616739919409156,1.3564036637544632,-0.04336946,0.1592108,-0.19864926,0.07408944
4608,-0.7904192,0.013836953963618726,-0.005539191537536681,0.014100193016929552,1.3694704174995422,-0.17535087,0.037528977,0.14824444,0.020410247
5120,0.3454914,0.013761723879724741,-0.010486854589544237,0.02165938913822174,1.2563996315002441,-0.093448766,0.12702897,-0.13458042,0.12488934
5632,0.6703549,0.010625240625813603,-0.003498136531561613,0.007890656241215765,1.2121354192495346,-0.045619775,0.08546574,-0.3029502,0.11090694
6144,0.086342216,0.008870498480973765,-0.0041646279860287905,0.014762005303055048,1.1331660598516464,-0.13144,0.09524783,-0.08445841,0.06359391
6656,0.07318246,0.005024204816436395,-0.0070774214109405875,0.00978682393906638,1.2070481330156326,-0.10053666,0.0727611,-0.116719045,0.071660526
7168,-0.63218117,0.003897384856827557,-0.0018105118069797754,0.010310940153431147,1.212527096271515,-0.13170478,0.045490548,-0.11020714,0.03919765
7680,0.0025740266,0.021158990333788097,-0.009445689269341528,0.019203969975933433,1.33845254778862,-0.07559518,0.13781306,-0.20342606,0.057430115
8192,0.3670287,0.008228172169765458,-0.01163125573657453,0.019984151935204864,1.3700196295976639,-0.06410253,0.13489978,-0.15068546,0.13579492
8704,-4.938882,0.009448168886592612,-0.0053545101545751095,0.007616996721480973,1.3559139966964722,-0.13530824,0.035102412,-0.13670865,0.028241169
9216,-0.65507495,0.0019371917587704957,-0.00834308983758092,0.007219774532131851,1.388418585062027,-0.08178337,0.087244965,-0.2037164,0.026131906
9728,0.16389322,0.009788073395611718,-0.010697981459088624,0.022572039160877466,1.3425946980714798,-0.012155311,0.15313362,-0.30031967,0.027220467
10240,-0.024439573,0.011893665039679036,-0.005516938166692853,0.007395579508738592,1.3241559565067291,-0.12927946,0.03603987,-0.11353408,0.009942083
10752,0.11312008,0.0040601704677101225,-0.009624953381717205,0.018272698274813592,1.2860000729560852,-0.09092285,0.12707286,0.025811583,0.12750356
11264,-0.7211776,0.01161665137624368,-0.015777116641402245,0.023296944447793067,1.2447963654994965,-0.11214087,0.14922994,-0.034545407,0.12586428
11776,-4.9120626,0.010968974936986342,-0.011142644798383117,0.00955355929909274,1.198441281914711,-0.12772474,0.034920957,-0.19950116,0.02962992
12288,-0.053719282,0.022564539656741545,-0.012116408965084702,0.01430733094457537,1.143775999546051,-0.030731916,0.11840486,-0.27150106,0.09078489
12800,-0.0021390915,-0.000773484178353101,-0.008334892569109797,0.0084138362435624,1.1578564196825027,-0.0735008,0.08562898,-0.26575762,0.014202733
13312,-0.24148858,0.015149433456826955,-0.016596051864326,0.0042569872821331955,1.2222805619239807,-0.094057396,0.025647685,-0.3804321,0.0174449
13824,0.23760241,0.014511272398522124,-0.012955845450051129,0.0250277582090348,1.2514374256134033,-0.02025558,0.16409716,-0.3139441,0.18130812
14336,-0.38433135,0.013657605508342385,-0.014955001068301499,0.004555455117952079,1.2567436695098877,-0.088693246,0.039733756,-0.3584089,0.03497004
14848,-5.1096487,0.02093029342358932,-0.01711425045505166,0.015044083527754992,1.2329451441764832,-0.109875605,0.13642877,-0.15159905,0.11368587
15360,0.079469204,0.019401629688218236,-0.011943017365410924,0.018488377798348665,1.2066929042339325,-0.061221585,0.12703367,-0.2747102,0.06378878
15872,-0.3294704,0.0045104796008672565,-0.011623901082202792,0.0024185635484172963,1.0975359082221985,-0.06956543,0.024318632,-0.5221449,0.013275671
16384,-1.2077072,0.012667097762459889,-0.014048019889742136,0.0188012687722221,1.016515076160431,-0.023745086,0.17094085,-0.34395522,0.12055365
16896,0.531935,0.016763844498200342,-0.00794586748816073,0.016162054613232613,1.067926436662674,-0.04510665,0.1281043,-0.30966032,0.2069889
17408,-0.039835334,0.012279880582354963,-0.0018077607383020222,0.008519814771716483,0.9903391003608704,-0.13821578,0.03437941,-0.05422161,0.012733524
17920,0.40328532,0.008059988351305947,-0.016803742852061987,0.02547475416213274,1.0669638812541962,-0.08209135,0.14513682,-0.18341205,0.10859056
18432,0.24652272,-0.0006326498405542225,-0.0007918766932561994,0.016700449283234775,0.9842772930860519,-0.0073211314,0.13170196,-0.46882367,0.0953783
18944,-3.1417813,0.00718744465848431,-0.009195734513923526,0.006141455451142974,1.0614860355854034,-0.11215958,0.04551628,-0.32307494,0.0490672
19456,-0.030903697,0.0038237785920500755,-0.007941444870084524,0.025879866676405072,1.054446592926979,-0.0638352,0.17485937,-0.3760149,0.13849612
19968,0.10161686,-0.0014568364422302693,-0.008753878180868924,0.002318636637937743,1.067333534359932,-0.047486927,0.040082317,-0.6216519,0.06405267
20480,-3.3624644,0.006511142273666337,-0.0053255141247063875,0.015079561271704733,0.9917104914784431,-0.07015411,0.15202482,-0.33484524,0.08269924
20992,0.11168969,0.001849980850238353,-0.0137258421164006,0.022656580084003508,0.9663334786891937,-0.008684712,0.1515398,-0.30531007,0.06414998
