episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
43,-6.000000000000005,200,35200,2,0.5,57,0.57,7.666666666666667,0,0,0,0,0,66.0,15.0,25.0,75.0,51,41,46,55,607
44,-7.000000000000006,200,36000,1,0.25,52,0.52,9.5,0,0,0,0,0,114.0,49.0,14.0,36.0,54,68,43,61,574
45,-2.480000000000004,162,36648,4,1.0,58,0.58,7.166666666666667,1,0,0,0,0,103.0,28.0,103.0,110.0,101,120,56,76,295
46,-7.000000000000006,200,37448,1,0.25,49,0.49,8.166666666666666,0,0,0,0,0,72.0,76.0,67.0,67.0,82,77,54,103,484
47,-5.000000000000005,200,38248,3,0.75,65,0.65,6.666666666666667,0,0,0,0,0,168.0,147.0,75.0,117.0,147,165,95,104,289
48,-6.000000000000005,200,39048,2,0.5,57,0.57,6.5,0,0,0,0,0,81.0,131.0,167.0,146.0,137,177,107,131,248
49,1.3599999999999979,66,39312,4,1.0,32,0.32,6.833333333333333,1,0,0,0,0,52.0,57.0,18.0,13.0,31,40,34,27,132
50,-5.000000000000004,200,40112,3,0.75,50,0.5,7.5,0,0,0,0,0,86.0,109.0,111.0,128.0,126,142,83,101,348
51,-7.000000000000005,200,40912,1,0.25,67,0.67,10.0,0,0,0,0,0,108.0,35.0,138.0,140.0,102,133,103,113,349
52,2.5199999999999987,37,41060,4,1.0,45,0.45,4.166666666666667,1,0,0,0,0,38.0,37.0,42.0,34.0,35,47,34,12,20
53,-6.000000000000005,200,41860,2,0.5,63,0.63,2.1666666666666665,0,0,0,0,0,141.0,136.0,138.0,143.0,146,165,134,106,249
54,-6.000000000000005,200,42660,2,0.5,59,0.59,1.5,0,0,0,0,0,85.0,132.0,151.0,158.0,129,147,132,110,282
55,1.999999999999999,50,42860,4,1.0,45,0.45,3.8333333333333335,1,0,0,0,0,39.0,36.0,24.0,41.0,29,31,32,32,76
56,-1.6800000000000028,142,43428,4,1.0,63,0.63,7.5,1,0,0,0,0,106.0,108.0,89.0,67.0,86,91,105,89,197
57,-5.0000000000000036,200,44228,3,0.75,54,0.54,6.666666666666667,0,0,0,0,0,152.0,117.0,129.0,133.0,98,85,181,171,265
58,1.9999999999999982,50,44428,4,1.0,39,0.39,5.5,1,0,0,0,0,27.0,45.0,39.0,52.0,30,23,45,32,70
