episode,episode_return,episode_length,env_steps,items_collected_total,fraction_items_collected,unique_cells_visited,coverage_fraction,mean_pairwise_dist,success,agent0_items,agent1_items,agent2_items,agent3_items,agent0_dist,agent1_dist,agent2_dist,agent3_dist,freq_up,freq_down,freq_left,freq_right,freq_stay
43,1.6399999999999997,59,25040,4,1.0,53,0.53,1.6666666666666667,1,0,0,0,0,38.0,41.0,29.0,41.0,24,66,26,32,88
44,0.9599999999999994,76,25344,4,1.0,54,0.54,2.1666666666666665,1,0,0,0,0,59.0,40.0,59.0,49.0,38,47,53,40,126
45,1.1599999999999997,71,25628,4,1.0,56,0.56,2.6666666666666665,1,0,0,0,0,42.0,52.0,46.0,39.0,35,65,37,38,109
46,0.9599999999999983,76,25932,4,1.0,56,0.56,3.1666666666666665,1,0,0,0,0,45.0,47.0,56.0,57.0,38,48,44,48,126
47,2.0799999999999996,48,26124,4,1.0,57,0.57,4.5,1,0,0,0,0,28.0,37.0,34.0,37.0,36,30,32,26,68
48,1.1599999999999997,71,26408,4,1.0,59,0.59,5.166666666666667,1,0,0,0,0,55.0,52.0,43.0,50.0,32,49,45,56,102
49,2.1599999999999993,46,26592,4,1.0,41,0.41,3.5,1,0,0,0,0,22.0,31.0,27.0,38.0,28,32,21,22,81
50,2.2399999999999993,44,26768,4,1.0,44,0.44,4.0,1,0,0,0,0,25.0,27.0,25.0,20.0,18,31,16,18,93
51,1.6399999999999986,59,27004,4,1.0,36,0.36,2.8333333333333335,1,0,0,0,0,26.0,27.0,22.0,18.0,12,26,27,8,163
52,0.2799999999999989,93,27376,4,1.0,52,0.52,5.333333333333333,1,0,0,0,0,57.0,56.0,55.0,57.0,54,56,62,38,162
53,1.1599999999999995,71,27660,4,1.0,60,0.6,1.8333333333333333,1,0,0,0,0,55.0,50.0,58.0,56.0,55,60,37,49,83
54,2.3199999999999985,42,27828,4,1.0,44,0.44,4.833333333333333,1,0,0,0,0,27.0,27.0,24.0,28.0,30,23,15,20,80
